2026-04-10 16:54:20 | OPTIONS | meus-planos-api/itens
2026-04-10 16:54:20 | POST | meus-planos-api/itens
2026-04-10 16:54:20 | GET | meus-planos-api/itens
2026-04-10 16:54:22 | OPTIONS | meus-planos-api/itens/7
2026-04-10 16:54:22 | DELETE | meus-planos-api/itens/7
2026-04-10 16:54:22 | GET | meus-planos-api/itens
2026-04-10 17:05:36 | GET | meus-planos-api/categorias
2026-04-10 17:08:21 | GET | meus-planos-api/itens
rias
2026-04-10 17:08:27 | GET | meus-planos-api/categorias
2026-04-10 17:08:27 | GET | meus-planos-api/itens
2026-04-10 17:10:20 | GET | meus-planos-api/categorias
2026-04-10 17:10:22 | GET | meus-planos-api/itens
rias
2026-04-10 17:10:22 | GET | meus-planos-api/categorias
2026-04-10 17:10:22 | GET | meus-planos-api/itens
2026-04-10 17:10:22 | GET | meus-planos-api/categorias
2026-04-10 17:10:22 | GET | meus-planos-api/itens
2026-04-10 17:10:30 | GET | meus-planos-api/categorias
2026-04-10 17:10:33 | GET | meus-planos-api/categorias
2026-04-10 17:11:25 | GET | meus-planos-api/itens
rias
2026-04-10 17:11:25 | GET | meus-planos-api/itens
rias
2026-04-10 17:11:27 | GET | meus-planos-api/categorias
2026-04-10 17:11:40 | GET | meus-planos-api/categorias
2026-04-10 17:11:42 | GET | meus-planos-api/itens
rias
2026-04-10 17:11:42 | GET | meus-planos-api/itens
rias
2026-04-10 17:11:43 | GET | meus-planos-api/categorias
2026-04-10 17:11:48 | GET | meus-planos-api/categorias
2026-04-10 17:12:12 | GET | meus-planos-api/categorias
2026-04-10 17:12:13 | GET | meus-planos-api/categorias
2026-04-10 17:12:23 | GET | meus-planos-api/categorias
2026-04-10 17:12:23 | GET | meus-planos-api/itens
2026-04-10 17:13:46 | GET | meus-planos-api/categorias
2026-04-10 17:13:46 | GET | meus-planos-api/itens
2026-04-10 17:18:06 | GET | meus-planos-api/categorias
2026-04-10 17:18:07 | GET | meus-planos-api/categorias
2026-04-10 17:19:14 | GET | meus-planos-api/categorias
2026-04-10 17:19:17 | GET | meus-planos-api/categorias
2026-04-10 17:20:22 | GET | meus-planos-api/categorias
2026-04-10 17:20:22 | GET | meus-planos-api/itens
2026-04-10 17:20:27 | GET | meus-planos-api/categorias
2026-04-10 17:21:41 | GET | meus-planos-api/itens
rias
2026-04-10 17:22:00 | GET | meus-planos-api/categorias
2026-04-10 17:22:44 | GET | meus-planos-api/categorias
2026-04-10 17:23:10 | GET | meus-planos-api/itens
rias
2026-04-10 17:23:13 | GET | meus-planos-api/categorias
2026-04-10 17:24:09 | GET | meus-planos-api
2026-04-10 17:24:36 | GET | meus-planos-api/itens.html
2026-04-10 17:25:18 | GET | meus-planos-api/categorias
2026-04-10 17:25:30 | GET | meus-planos-api/categorias
2026-04-10 17:25:30 | GET | meus-planos-api/itens
2026-04-10 17:25:32 | GET | meus-planos-api/itens
2026-04-10 17:25:57 | GET | meus-planos-api/categorias
2026-04-10 17:26:53 | GET | meus-planos-api/itens
2026-04-10 17:26:53 | GET | meus-planos-api/categorias
2026-04-10 17:26:54 | GET | meus-planos-api/categorias
2026-04-10 17:26:58 | GET | meus-planos-api/itens
rias
2026-04-10 17:27:07 | DELETE | meus-planos-api/itens/5
2026-04-10 17:27:14 | GET | meus-planos-api/itens
2026-04-10 17:28:27 | GET | meus-planos-api/categorias
2026-04-10 17:29:11 | GET | meus-planos-api/itens
rias
2026-04-10 17:29:15 | GET | meus-planos-api/categorias
