07-04-2026 16:18:15 | GET | cafeteria-api/pedidos
07-04-2026 16:18:38 | GET | cafeteria-api/pedidos
07-04-2026 16:18:38 | GET | cafeteria-api/pedidos
07-04-2026 16:18:39 | GET | cafeteria-api/pedidos
07-04-2026 16:18:41 | GET | cafeteria-api/pedidos
07-04-2026 16:18:45 | GET | cafeteria-api/pedidos
07-04-2026 16:19:02 | GET | cafeteria-api/pedidos
07-04-2026 16:19:04 | GET | cafeteria-api/pedidos
07-04-2026 16:19:04 | GET | cafeteria-api/pedidos
07-04-2026 16:19:06 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:19:06 | POST | cafeteria-api/pedidos
07-04-2026 16:19:41 | GET | cafeteria-api/pedidos
07-04-2026 16:20:14 | GET | cafeteria-api/pedidos
07-04-2026 16:22:30 | GET | cafeteria-api/pedidos
07-04-2026 16:22:30 | GET | cafeteria-api/pedidos
07-04-2026 16:22:32 | GET | cafeteria-api/pedidos
07-04-2026 16:22:34 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:22:34 | POST | cafeteria-api/pedidos
07-04-2026 16:22:46 | GET | cafeteria-api/pedidos
07-04-2026 16:22:55 | GET | cafeteria-api/pedidos
07-04-2026 16:22:57 | GET | cafeteria-api/pedidos
07-04-2026 16:23:00 | GET | cafeteria-api/pedidos
07-04-2026 16:23:01 | GET | cafeteria-api/pedidos
07-04-2026 16:23:06 | GET | cafeteria-api/pedidos
07-04-2026 16:23:08 | GET | cafeteria-api/pedidos
07-04-2026 16:28:09 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:28:09 | POST | cafeteria-api/pedidos
07-04-2026 16:29:45 | GET | cafeteria-api/pedidos
07-04-2026 16:29:47 | GET | cafeteria-api/pedidos
07-04-2026 16:29:49 | GET | cafeteria-api/pedidos
07-04-2026 16:29:54 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:29:54 | POST | cafeteria-api/pedidos
07-04-2026 16:29:56 | OPTIONS | cafeteria-api/pedidos/4
07-04-2026 16:29:56 | DELETE | cafeteria-api/pedidos/4
07-04-2026 16:29:56 | GET | cafeteria-api/pedidos
07-04-2026 16:29:58 | OPTIONS | cafeteria-api/pedidos/5
07-04-2026 16:29:58 | DELETE | cafeteria-api/pedidos/5
07-04-2026 16:29:58 | GET | cafeteria-api/pedidos
07-04-2026 16:30:00 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:30:00 | POST | cafeteria-api/pedidos
07-04-2026 16:31:11 | GET | cafeteria-api/pedidos
07-04-2026 16:31:12 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:31:12 | POST | cafeteria-api/pedidos
07-04-2026 16:31:12 | GET | cafeteria-api/pedidos
07-04-2026 16:31:20 | OPTIONS | cafeteria-api/pedidos/6
07-04-2026 16:31:20 | DELETE | cafeteria-api/pedidos/6
07-04-2026 16:31:20 | GET | cafeteria-api/pedidos
07-04-2026 16:31:27 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:31:27 | POST | cafeteria-api/pedidos
07-04-2026 16:31:27 | GET | cafeteria-api/pedidos
07-04-2026 16:31:37 | GET | cafeteria-api/pedidos
07-04-2026 16:33:50 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 16:33:50 | DELETE | cafeteria-api/pedidos/3
07-04-2026 16:33:50 | GET | cafeteria-api/pedidos
07-04-2026 16:33:51 | OPTIONS | cafeteria-api/pedidos/7
07-04-2026 16:33:51 | DELETE | cafeteria-api/pedidos/7
07-04-2026 16:33:51 | GET | cafeteria-api/pedidos
07-04-2026 16:33:51 | OPTIONS | cafeteria-api/pedidos/8
07-04-2026 16:33:51 | DELETE | cafeteria-api/pedidos/8
07-04-2026 16:33:51 | GET | cafeteria-api/pedidos
07-04-2026 16:33:55 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:33:55 | POST | cafeteria-api/pedidos
07-04-2026 16:33:55 | GET | cafeteria-api/pedidos
07-04-2026 16:39:32 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:39:32 | POST | cafeteria-api/pedidos
07-04-2026 16:39:32 | GET | cafeteria-api/pedidos
07-04-2026 16:44:33 | GET | cafeteria-api/pedidos
07-04-2026 16:44:56 | GET | cafeteria-api/pedidos
07-04-2026 16:47:23 | GET | cafeteria-api/pedidos
07-04-2026 16:47:37 | GET | cafeteria-api/pedidos
07-04-2026 16:47:40 | GET | cafeteria-api/pedidos
07-04-2026 16:47:41 | GET | cafeteria-api/pedidos
07-04-2026 16:47:44 | GET | cafeteria-api/pedidos
07-04-2026 16:47:46 | GET | cafeteria-api/pedidos
07-04-2026 16:47:46 | GET | cafeteria-api/pedidos
07-04-2026 16:47:47 | GET | cafeteria-api/pedidos
07-04-2026 16:47:47 | GET | cafeteria-api/pedidos
07-04-2026 16:47:55 | GET | cafeteria-api/categorias
07-04-2026 16:47:55 | GET | cafeteria-api/produtos
07-04-2026 16:48:22 | GET | cafeteria-api/produtos
07-04-2026 16:48:49 | GET | cafeteria-api/categorias
07-04-2026 16:48:50 | GET | cafeteria-api/produtos
07-04-2026 16:48:51 | GET | cafeteria-api/categorias
07-04-2026 16:48:51 | GET | cafeteria-api/produtos
07-04-2026 16:49:56 | GET | cafeteria-api/pedidos
07-04-2026 16:50:01 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:50:01 | POST | cafeteria-api/pedidos
07-04-2026 16:50:01 | GET | cafeteria-api/pedidos
07-04-2026 16:55:06 | GET | cafeteria-api/categorias
07-04-2026 16:55:07 | GET | cafeteria-api/produtos
07-04-2026 16:55:13 | GET | cafeteria-api/produtos
07-04-2026 16:55:37 | GET | cafeteria-api/categorias
07-04-2026 16:56:51 | GET | cafeteria-api/pedidos
07-04-2026 16:56:54 | GET | cafeteria-api/pedidos
07-04-2026 16:56:54 | GET | cafeteria-api/produtos
07-04-2026 16:56:57 | GET | cafeteria-api/categorias
07-04-2026 16:57:00 | GET | cafeteria-api/pedidos
07-04-2026 16:57:01 | GET | cafeteria-api/pedidos
07-04-2026 16:57:01 | GET | cafeteria-api/pedidos
07-04-2026 16:57:02 | GET | cafeteria-api/pedidos
07-04-2026 16:57:54 | GET | cafeteria-api/pedidos
07-04-2026 16:58:01 | GET | cafeteria-api/pedidos
07-04-2026 16:58:01 | GET | cafeteria-api/pedidos
07-04-2026 16:58:02 | GET | cafeteria-api/pedidos
07-04-2026 16:58:02 | GET | cafeteria-api/pedidos
07-04-2026 16:58:04 | GET | cafeteria-api/produtos
07-04-2026 16:58:04 | GET | cafeteria-api/pedidos
07-04-2026 16:59:33 | GET | cafeteria-api/pedidos
07-04-2026 16:59:48 | GET | cafeteria-api/pedidos
07-04-2026 17:00:03 | GET | cafeteria-api/pedidos
07-04-2026 17:03:01 | GET | cafeteria-api/pedidos
07-04-2026 17:03:10 | GET | cafeteria-api/pedidos
07-04-2026 17:03:10 | GET | cafeteria-api/pedidos
07-04-2026 17:03:11 | GET | cafeteria-api/pedidos
07-04-2026 17:03:11 | GET | cafeteria-api/pedidos
07-04-2026 17:03:40 | GET | cafeteria-api/categorias
07-04-2026 17:03:41 | GET | cafeteria-api/pedidos
